respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
42,yes,China,more than 2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,3,iPad by The Chainsmokers,The Chainsmokers,202406,56,0.665,0.628,2,-6.297,1,0.026,0.00502,2.02e-05,0.0947,0.551,121.979,4
43,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,3- No change,1 - Strongly Disagree,3,3,3,4,4,1,This could be us,Rae Sremmurd,206306,78,0.732,0.69,0,-4.992,0,0.134,0.291,0.0,0.116,0.758,143.072,4
43,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,3- No change,1 - Strongly Disagree,3,3,3,4,4,2,BIRDS OF A FEATHER,Billie Eilish,210373,95,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
43,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,3- No change,1 - Strongly Disagree,3,3,3,4,4,3,Just Dance,"Lady Gaga, Colby O'Donis",241933,84,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.28e-05,0.181,0.745,118.99,4
44,yes,Russia,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,2-Slightly decreased,4,1 - Strongly Disagree,4,5,3,3,1,"Марафоны - Роки, Три Дня Дождя","Три дня дождя, Роки",147042,39,0.521,0.906,11,-4.041,1,0.0682,0.0702,0.0,0.123,0.511,141.985,4
44,yes,Russia,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,2-Slightly decreased,4,1 - Strongly Disagree,4,5,3,3,2,Почему ты еще не фанат? - Серега Пират,СЕРЕГА ПИРАТ,163761,55,0.729,0.875,11,-4.99,0,0.103,0.0645,0.000102,0.377,0.706,132.026,4
44,yes,Russia,1–2 years,Non-binary / third gender,Neither home nor NL,,4- Much,2-Slightly decreased,4,1 - Strongly Disagree,4,5,3,3,3,Haifisch - Rammstein,Rammstein,224906,60,0.627,0.842,9,-4.215,1,0.0375,0.000832,0.898,0.115,0.309,134.98,4
45,yes,Finland,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,5 - Strongly increased,3,6,6,5,5,5,1,Питер Паркер -madk1d,madk1d,119062,58,0.483,0.904,8,-8.747,1,0.0859,0.000683,0.18,0.344,0.473,98.797,4
45,yes,Finland,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,5 - Strongly increased,3,6,6,5,5,5,2,Все к лучшему - какая разница,Какая Разница,151463,48,0.678,0.677,9,-7.387,1,0.0462,0.0587,0.118,0.151,0.35,123.018,4
45,yes,Finland,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,5 - Strongly increased,3,6,6,5,5,5,3,Типичная ситуация -madk1d,madk1d,130011,57,0.489,0.871,8,-5.733,0,0.121,0.0111,0.0687,0.461,0.653,165.084,4
